"work_id","size_id","sale_price","regular_price"
135936,2430,305.00,545.00
135936,2632,325.00,585.00
135936,2936,375.00,685.00
135936,3040,405.00,745.00
135936,3648,495.00,925.00
135936,4860,675.00,1285.00
135936,5468,805.00,1545.00
135947,30,95.00,95.00
135947,24,85.00,85.00
135947,2430,305.00,545.00
135947,2632,325.00,585.00
135947,2936,375.00,685.00
135947,3040,405.00,745.00
135947,3648,495.00,925.00
135947,4860,675.00,1285.00
135947,5468,805.00,1545.00
135958,2430,305.00,545.00
135958,2632,325.00,585.00
135958,2936,375.00,685.00
135958,3040,405.00,745.00
135958,3648,495.00,925.00
135958,4860,675.00,1285.00
135958,5468,805.00,1545.00
31780,36,10.00,125.00
31780,30,10.00,95.00
31780,2436,345.00,605.00
31780,3046,435.00,785.00
31780,3654,545.00,1005.00
31780,4060,615.00,1145.00
31780,4872,775.00,1465.00
135969,2430,305.00,545.00
135969,2632,325.00,585.00
135969,2936,375.00,685.00
135969,3040,405.00,745.00
135969,3648,495.00,925.00
135969,4860,675.00,1285.00
135969,5468,805.00,1545.00
31778,2430,305.00,545.00
31778,2632,325.00,585.00
31778,2936,375.00,685.00
31778,3040,405.00,745.00
31778,3648,495.00,925.00
31778,4860,675.00,1285.00
31778,5468,805.00,1545.00
135980,2430,305.00,545.00
135980,2632,325.00,585.00
135980,2936,375.00,685.00
135980,3040,405.00,745.00
135980,3648,495.00,925.00
135980,4860,675.00,1285.00
135980,5468,805.00,1545.00
147731,1620,235.00,355.00
147731,2024,265.00,415.00
147731,2430,305.00,495.00
147731,2632,325.00,535.00
147731,2936,375.00,635.00
147731,3040,405.00,695.00
147731,3648,495.00,875.00
147731,4860,675.00,1235.00
147731,5468,805.00,1495.00
147742,1620,215.00,355.00
147742,2024,245.00,415.00
147742,2430,285.00,495.00
147742,2632,305.00,535.00
147742,2936,355.00,635.00
147742,3040,385.00,695.00
147742,3648,475.00,875.00
147742,4860,655.00,1235.00
147742,5468,785.00,1495.00
147753,1620,235.00,355.00
147753,2024,265.00,415.00
147753,2430,305.00,495.00
147753,2632,325.00,535.00
147753,2936,375.00,635.00
147753,3040,405.00,695.00
147753,3648,495.00,875.00
147753,4860,675.00,1235.00
147753,5468,805.00,1495.00
147764,1620,215.00,355.00
147764,2024,245.00,415.00
147764,2430,285.00,495.00
147764,2632,305.00,535.00
147764,2936,355.00,635.00
147764,3040,385.00,695.00
147764,3648,475.00,875.00
147764,4860,655.00,1235.00
147764,5468,785.00,1495.00
147815,3629,385.00,625.00
147815,4030,455.00,685.00
147815,4836,545.00,865.00
147815,6048,725.00,1225.00
147815,6854,855.00,1485.00
147797,1624,235.00,395.00
147797,2030,275.00,475.00
147797,2436,315.00,555.00
147797,3046,405.00,735.00
147797,3654,515.00,955.00
147797,4060,585.00,1095.00
147797,4872,745.00,1415.00
147806,2436,315.00,555.00
147806,3046,405.00,735.00
147806,3654,515.00,955.00
147806,4060,585.00,1095.00
147806,4872,745.00,1415.00
147775,1620,215.00,355.00
147775,2024,245.00,415.00
147775,2430,285.00,495.00
147775,2632,305.00,535.00
147775,2936,355.00,635.00
147775,3040,385.00,695.00
147775,3648,475.00,875.00
147775,4860,655.00,1235.00
147775,5468,785.00,1495.00
147786,1620,215.00,355.00
147786,2024,245.00,415.00
147786,2430,285.00,495.00
147786,2632,305.00,535.00
147786,2936,355.00,635.00
147786,3040,385.00,695.00
147786,3648,475.00,875.00
147786,4860,655.00,1235.00
147786,5468,785.00,1495.00
24536,1620,215.00,365.00
24536,2024,245.00,425.00
24536,2430,285.00,505.00
24536,2632,305.00,545.00
24536,2936,355.00,645.00
24536,3040,385.00,705.00
24536,3648,475.00,885.00
24536,4860,655.00,1245.00
24536,5468,785.00,1505.00
122171,1620,215.00,365.00
122171,2024,245.00,425.00
122171,2430,285.00,505.00
122171,2632,305.00,545.00
122171,2936,355.00,645.00
122171,3040,385.00,705.00
122171,3648,475.00,885.00
122171,4860,655.00,1245.00
122171,5468,785.00,1505.00
122182,1620,215.00,365.00
122182,2024,245.00,425.00
122182,2430,285.00,505.00
122182,2632,305.00,545.00
122182,2936,355.00,645.00
122182,3040,385.00,705.00
122182,3648,475.00,885.00
122182,4860,655.00,1245.00
122182,5468,785.00,1505.00
122193,1620,215.00,365.00
122193,2024,245.00,425.00
122193,2430,285.00,505.00
122193,2632,305.00,545.00
122193,2936,355.00,645.00
122193,3040,385.00,705.00
122193,3648,475.00,885.00
122193,4860,655.00,1245.00
122193,5468,785.00,1505.00
122204,1620,215.00,365.00
122204,2024,245.00,425.00
122204,2430,285.00,505.00
122204,2632,305.00,545.00
122204,2936,355.00,645.00
122204,3040,385.00,705.00
122204,3648,475.00,885.00
122204,4860,655.00,1245.00
122204,5468,785.00,1505.00
122215,1624,235.00,385.00
122215,2030,275.00,465.00
122215,2436,315.00,545.00
122215,3046,405.00,725.00
122215,3654,515.00,945.00
122215,4060,585.00,1085.00
122215,4872,745.00,1405.00
122224,2436,345.00,545.00
122224,3046,435.00,725.00
122224,3654,545.00,945.00
122224,4060,615.00,1085.00
122224,4872,775.00,1405.00
194065,5468,785.00,1495.00
194065,4860,655.00,1235.00
194065,3648,475.00,875.00
194065,3040,385.00,695.00
194065,2936,355.00,635.00
194065,2632,305.00,535.00
194065,2430,285.00,495.00
194074,36,125.00,125.00
194074,30,95.00,95.00
194074,24,85.00,85.00
194074,5468,785.00,1495.00
194074,4860,655.00,1235.00
194074,3648,475.00,875.00
194074,3040,385.00,695.00
194074,2936,355.00,635.00
194074,2632,305.00,535.00
194074,2430,285.00,495.00
194148,40,145.00,145.00
194148,36,125.00,125.00
194148,30,95.00,95.00
194148,3629,395.00,645.00
194148,4030,425.00,705.00
194148,4836,515.00,885.00
194148,6048,695.00,1245.00
194148,6854,825.00,1505.00
194130,5468,875.00,1495.00
194130,4860,745.00,1235.00
194130,3648,565.00,875.00
194130,3040,475.00,695.00
194130,2936,445.00,635.00
194121,36,125.00,125.00
194121,30,95.00,95.00
194121,5468,805.00,1495.00
194121,4860,675.00,1235.00
194121,3648,495.00,875.00
194121,3040,405.00,695.00
194121,2936,375.00,635.00
194083,5468,785.00,1495.00
194083,4860,655.00,1235.00
194083,3648,475.00,875.00
194083,3040,385.00,695.00
194083,2936,355.00,635.00
194083,2632,305.00,535.00
194083,2430,285.00,495.00
194092,5468,785.00,1495.00
194092,4860,655.00,1235.00
194092,3648,475.00,875.00
194092,3040,385.00,695.00
194092,2936,355.00,635.00
